True Label,Predicted Label,Test Scores (r2 or accuracy)
2,2,0.6716462954579749
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,0,_
2,2,_
2,2,_
2,0,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,0,_
2,2,_
2,2,_
2,2,_
2,2,_
2,0,_
2,2,_
2,0,_
2,0,_
2,2,_
2,2,_
2,2,_
2,2,_
2,0,_
2,2,_
2,2,_
2,0,_
2,2,_
2,2,_
2,0,_
2,0,_
2,0,_
2,2,_
2,0,_
2,0,_
2,2,_
2,2,_
2,0,_
2,0,_
2,0,_
2,0,_
2,2,_
2,2,_
2,0,_
2,2,_
2,2,_
2,0,_
2,2,_
2,0,_
2,2,_
2,2,_
2,0,_
2,0,_
2,2,_
2,2,_
2,0,_
2,0,_
2,2,_
2,0,_
2,2,_
2,2,_
2,2,_
2,0,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,0,_
2,2,_
2,2,_
2,0,_
2,0,_
2,0,_
2,0,_
2,2,_
2,0,_
2,0,_
2,0,_
2,0,_
2,0,_
2,0,_
2,0,_
2,0,_
2,0,_
2,0,_
2,0,_
2,0,_
2,0,_
2,2,_
2,2,_
2,0,_
2,0,_
2,2,_
2,0,_
2,0,_
2,0,_
2,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,2,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,2,_
0,0,_
0,0,_
0,0,_
0,2,_
0,2,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,2,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,2,_
0,0,_
0,0,_
0,2,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,2,_
0,0,_
0,0,_
0,0,_
0,2,_
0,2,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,2,_
0,0,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,2,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,2,_
0,0,_
0,0,_
0,0,_
0,0,_
0,2,_
0,0,_
0,0,_
0,2,_
0,0,_
0,2,_
0,2,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,2,_
0,0,_
2,2,_
2,2,_
2,1,_
2,2,_
2,2,_
2,2,_
2,1,_
2,0,_
2,1,_
2,0,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,1,_
2,2,_
2,0,_
2,0,_
2,2,_
2,2,_
2,2,_
2,0,_
2,0,_
2,2,_
2,0,_
2,1,_
